cluster,size,avg_elo,pct_beginner,pct_intermediate,pct_advanced
0,8946,1551.6377201543303,34.317013190252624,48.34562933154483,17.33735747820255
1,30391,1706.800166330315,21.009509394228555,47.997762495475634,30.992728110295808
2,5276,1500.4729183026295,41.868840030326005,39.42380591357089,18.70735405610311
