method,n_clusters,silhouette_score,calinski_harabasz_index,davies_bouldin_index,pca_explained_variance
kmeans,3,0.34020586919425594,26563.601461625436,0.9498740516923804,0.42586851899771927
hierarchical,3,0.2898610378079777,20925.888910376772,1.0454528242560166,0.42586851899771927
dbscan,4,0.6583202521033263,339.05141759304564,3.1422176819366614,0.42586851899771927
gmm,3,0.32136113144010964,22276.227057199234,1.0324847805432358,0.42586851899771927
birch,3,0.2401066659785592,13220.280518716749,1.1589069471066542,0.42586851899771927
